[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x0000029cc9b66088) [0x0000029cc9b66180, 0x0000029cc9b66290] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.688+0530][0.079s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodTypeForm.canonicalize (0x0000029cc1fde108) [0x0000029cc1fde2c0, 0x0000029cc1fde870] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[2024-10-26T03:26:24.688+0530][0.079s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.get (0x0000029cc1fde908) [0x0000029cc1fdeb00, 0x0000029cc1fdf648] Compiler: c1, Barriers: 7, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.688+0530][0.079s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x0000029cc9b66388) [0x0000029cc9b66480, 0x0000029cc9b66590] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.688+0530][0.079s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodType.hashCode (0x0000029cc1fdf688) [0x0000029cc1fdf7e0, 0x0000029cc1fdfbf0] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.079s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.StrongReferenceKey.<init> (0x0000029cc1fdfc08) [0x0000029cc1fdfd20, 0x0000029cc1fdff00] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.079s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ReferencedKeyMap.lookupKey (0x0000029cc1fdff88) [0x0000029cc1fe00c0, 0x0000029cc1fe0358] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.080s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MemberName.getDeclaringClass (0x0000029cc9b66688) [0x0000029cc9b667a0, 0x0000029cc9b66898] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.080s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.StrongReferenceKey.hashCode (0x0000029cc1fe0388) [0x0000029cc1fe04c0, 0x0000029cc1fe06e8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.080s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x0000029cc9b66988) [0x0000029cc9b66a80, 0x0000029cc9b66b90] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.080s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToVirtual (0x0000029cc9b66c88) [0x0000029cc9b66d80, 0x0000029cc9b66db0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.080s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodType.checkSlotCount (0x0000029cc1fe0708) [0x0000029cc1fe08c0, 0x0000029cc1fe0f30] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.080s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MemberName.anyFlagSet (0x0000029cc1fe0f88) [0x0000029cc1fe10a0, 0x0000029cc1fe1200] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.689+0530][0.080s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MemberName.isInvocable (0x0000029cc1fe1288) [0x0000029cc1fe13a0, 0x0000029cc1fe1560] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
